organ_id,organ_name_vi,organ_type,related_zang_fu,physiological_function,associated_body_parts,pathological_manifestation,data_source
OZF001,Tâm,Tạng,Biểu lý với Tiểu trường,"Chủ thần minh, Chủ huyết mạch, Tàng thần, Tâm bào bảo vệ tâm","Lưỡi, mặt, huyết mạch","Mất ngủ, rối loạn tinh thần, xuất huyết, hồi hộp","Sách Lý luận cơ bản Y Học Cổ Truyền - Trang 35 tới 45
https://trungtamdaotaohnm.edu.vn/tai-lieu-ly-luan-y-hoc-co-truyen.html"
OZF002,Can,Tạng,Biểu lý với Đởm,"Tàng huyết, Chủ sơ tiết, Chủ cân, Điều tiết khí huyết","Mắt, móng tay, móng chân, gân","Xuất huyết, co giật, uất ức, rối loạn vận động","Sách Lý luận cơ bản Y Học Cổ Truyền - Trang 35 tới 45
https://trungtamdaotaohnm.edu.vn/tai-lieu-ly-luan-y-hoc-co-truyen.html"
OZF003,Tỳ,Tạng,Biểu lý với Vị,"Chủ vận hóa, Thống huyết, Nhiếp huyết, Chủ cơ nhục, Chủ tứ chi","Miệng, môi, cơ bắp, tay chân","Ăn kém, tiêu hóa kém, sa nội tạng, xuất huyết kéo dài","Sách Lý luận cơ bản Y Học Cổ Truyền - Trang 35 tới 45
https://trungtamdaotaohnm.edu.vn/tai-lieu-ly-luan-y-hoc-co-truyen.html"
OZF004,Phế,Tạng,Biểu lý với Đại trường,"Chủ khí, Chủ hô hấp, Tuyên phát, Túc giáng, Chủ bì mao","Mũi, da, lông, tiếng nói","Ho, khó thở, phù phần trên, cảm mạo, dị ứng","Sách Lý luận cơ bản Y Học Cổ Truyền - Trang 35 tới 45
https://trungtamdaotaohnm.edu.vn/tai-lieu-ly-luan-y-hoc-co-truyen.html"
OZF005,Thận,Tạng,Biểu lý với Bàng quang,"Chủ thủy, Tàng tinh, Chủ mệnh môn hỏa, Nạp khí, Chủ cốt tủy, Liên quan não","Tai, răng, tóc, xương, não, nhị âm","Phù, rối loạn tiểu tiện, suy sinh dục, hen, chậm phát triển","Sách Lý luận cơ bản Y Học Cổ Truyền - Trang 35 tới 45
https://trungtamdaotaohnm.edu.vn/tai-lieu-ly-luan-y-hoc-co-truyen.html"
OZF006,Đởm,Phủ,Biểu lý với Can,"Chứa mật, Giúp tiêu hóa, Chủ quyết đoán","Túi mật (chức năng), hệ thần kinh tinh thần","Hoàng đản, rối loạn quyết đoán","Sách Lý luận cơ bản Y Học Cổ Truyền - Trang 35 tới 45
https://trungtamdaotaohnm.edu.vn/tai-lieu-ly-luan-y-hoc-co-truyen.html"
OZF007,Vị,Phủ,Biểu lý với Tỳ,"Chứa đựng và làm nhừ thức ăn, Hỗ trợ vận hóa",Dạ dày,"Chán ăn, rối loạn tiêu hóa","Sách Lý luận cơ bản Y Học Cổ Truyền - Trang 35 tới 45
https://trungtamdaotaohnm.edu.vn/tai-lieu-ly-luan-y-hoc-co-truyen.html"
OZF008,Tiểu trường,Phủ,Biểu lý với Tâm,"Phân lọc tinh – trọc, Hấp thu tinh chất",Ruột non,"Đái máu (do tâm nhiệt), rối loạn hấp thu","Sách Lý luận cơ bản Y Học Cổ Truyền - Trang 35 tới 45
https://trungtamdaotaohnm.edu.vn/tai-lieu-ly-luan-y-hoc-co-truyen.html"
OZF009,Đại trường,Phủ,Biểu lý với Phế,Chứa và bài tiết phân,Ruột già,"Táo bón, lỵ, trĩ, thoát giang","Sách Lý luận cơ bản Y Học Cổ Truyền - Trang 35 tới 45
https://trungtamdaotaohnm.edu.vn/tai-lieu-ly-luan-y-hoc-co-truyen.html"
OZF010,Bàng quang,Phủ,Biểu lý với Thận,Chứa và bài tiết nước tiểu,Bàng quang,"Đái buốt, đái rắt, đái đục","Sách Lý luận cơ bản Y Học Cổ Truyền - Trang 35 tới 45
https://trungtamdaotaohnm.edu.vn/tai-lieu-ly-luan-y-hoc-co-truyen.html"
OZF011,Tam tiêu,Phủ,Biểu lý với Tâm bào,"Phân bố thủy dịch, Đường thủy dịch, Trung tâm phát nhiệt",Thượng – Trung – Hạ tiêu,"Phù thũng, rối loạn thủy dịch","Sách Lý luận cơ bản Y Học Cổ Truyền - Trang 35 tới 45
https://trungtamdaotaohnm.edu.vn/tai-lieu-ly-luan-y-hoc-co-truyen.html"
