principle_id,principle_name_vi,description,target_pathology,safety_note,data_source
TP001,Phương pháp hãn,"Phương pháp làm cho ra mồ hôi, chỉ dùng khi các bệnh cảm mạo, tấu lý bị vít lại. Trên cơ sở đó biểu không được giải, làm cho thân nhiệt tăng cao (sốt). Lúc này phải dùng thuốc phát hãn để khai mở tấu lý; đó là các thuốc tân ôn giải biểu hoặc tân lương giải biểu.","Biểu không giải, tấu lý bị vít","Cần chú ý dùng phương pháp này khi biểu tà chưa giải, lý nhiệt còn đang thịnh. Không nên dùng cho những cơ thể hư nhược, ốm lâu ngày sẽ hao tổn tân dịch; phụ nữ sau đẻ, trẻ con, sau khi mất máu, băng huyết, nhược huyết, sốt cao ra mồ hôi ra nhiều.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 99
TP002,Phương pháp thổ,"Đó là phương pháp làm cho nôn ra, dùng trong các trường hợp ăn vào không tiêu, bụng căng đầy, bội thực, ăn phải các chất độc, thuốc độc (hạt cà độc dược, trứng cóc...) làm cho bụng đau, có nguy cơ trúng độc nguy hiểm đến tính mạng.","Thức ăn không tiêu, trúng độc",Khi cần thiết phải kết hợp với phương pháp rửa ruột tương đối của y học hiện đại.,HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 99
TP003,Phương pháp tả hạ,"Là phương pháp cho đi tả, trong các trường hợp thực tích đại tràng thực nhiệt táo kết dẫn đến đau bụng. Có thể dùng phương pháp công hạ khi đại tràng thực nhiệt với các phương Đại thừa khí thang (đại hoàng, mang tiêu, hậu phác, chỉ thực), hoặc Tiểu thừa khí thang (phương đại thừa khí bỏ mang tiêu). Dùng khi đau bụng đầy trướng kèm theo táo kết. Hoặc dùng phương đại hoàng, mang tiêu, cam thảo để tăng nhuận cho đại tràng.","Thực tích đại tràng, thực nhiệt táo kết","Trong trường hợp hư hàn nhẹ, cần dùng phương pháp nhuận hạ với các vị thuốc vừng, thảo quyết minh. Phương pháp nhuận hạ thích hợp cho các cơ thể yếu hoặc phụ nữ sau khi đẻ táo bón.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 99
TP004,"Phương pháp hoà (hoà giải, hoà hoãn)","Phương pháp này dựa trên sự điều hoà âm dương, điều hoà ngũ tạng, lục phủ trong cơ thể. Ví dụ âm hư sinh nội nhiệt thì dùng thuốc bổ âm để bồi bổ chân âm nuôi dưỡng phần âm. Hoặc dương hư gây ngoại hàn phải dùng thuốc bổ dương để nuôi dưỡng chân dương làm cho chân dương đủ mạnh.","Âm dương mất điều hoà, khí huyết mất điều hoà","Cũng có thể dùng trong các chứng bán biểu, bán lý, hoặc các bệnh gây ra do sự mất điều hoà khí huyết.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 99
TP005,Phương pháp ôn,"Phương pháp làm ấm cơ thể, dùng các vị thuốc có vị cay tính ôn nhiệt để trừ khử hàn tà; đó là các loại thuốc Tân ôn giải biểu hoặc Ôn trung khử hàn, hồi dương cứu nghịch như quế, can khương, phụ tử, đại hồi.",Hàn tà,,HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 100
TP006,Phương pháp thanh,"Phương pháp thanh thử nhiệt độc ra khỏi cơ thể. Khi cơ thể bị sốt cao hoặc huyết nhiệt sinh mụn nhọt sưng lở, dị ứng, ngứa. Tuỳ theo cơ thể bị nhiệt theo hình thức nào thì dùng một trong 6 loại thuốc thanh nhiệt cho hợp lý.","Nhiệt, nhiệt độc",,HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 100
TP007,Phương pháp tiêu,"Chủ yếu nói tới phương pháp tiêu đạo, khi cơ thể tiêu hoá không tốt (tiêu hoá bất chấn, thường đầy bụng, sôi bụng, ăn uống không ngon miệng). Dùng các vị thuốc tiêu đạo, kích thích tiêu hoá như mạch nha, sơn tra, thần khúc kết hợp các thuốc kiện tỳ (bạch truật, bạch linh, hoàng kỳ).","Tiêu hoá kém, tích trệ",,HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 100
TP008,Phương pháp bổ,"Phương pháp này dùng trong các trường hợp cơ thể suy nhược, yếu mệt, ốm lâu ngày hoặc yếu từng phủ tạng. Dùng thuốc bổ huyết khi huyết hư, huyết thiếu người mệt mỏi, xanh xao, gầy còm. Dùng thuốc bổ khí khi cơ thể mệt mỏi, đoản khí, chân tay ra rời. Dùng thuốc bổ dương khi dương hư: chân lạnh, đau lưng, mỏi gối, tiểu đêm, di tinh. Hoặc thuốc bổ âm khi âm huyết suy kiệt, người khô héo, mắt khô sáp, quáng mắt, hoa mắt chóng mặt.","Hư chứng, suy nhược",,HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 100
TP009,Phương pháp xông,"Xông là phương pháp độc đáo của y học cổ truyền Việt Nam; phương pháp đơn giản nhưng cho hiệu quả cao đối với một số bệnh ngoại cảm (phong hàn, phong nhiệt, phong thấp). Người ta dùng những lá có mùi thơm của tinh dầu như lá sả, cam, hương nhu, bạc hà, cúc tần hoặc lá mang tính chất giải nhiệt như lá tre, rươi, khoai lang... đun sôi 5–10 phút. Xông toàn bộ: tiến hành xông bằng cách đặt nồi lá xông phía trước chỗ bệnh nhân ngồi trùm chăn kín, mở nắp nồi xông. Thời gian kéo dài độ 10–20 phút, thỉnh thoảng đảo lá xông. Hơi nước cùng hơi tinh dầu bão hoà kích thích khai mở tấu lý, phát hãn giải biểu. Sau khi xông cần lau hết mồ hôi, đồng thời uống độ 50–100 ml nước lá xông để tăng áp lực thẩm thấu, tăng giải biểu, phát hãn và lợi niệu để giải nhiệt và bài xuất tà độc ra khỏi cơ thể. Như vậy rõ ràng phương pháp xông sẽ giải nhiệt cơ thể theo 3 đường: ra (tấu lý), tiểu, đại tiện. Có nhiều cách xông, tuỳ theo từng bệnh và vị trí bị bệnh.","Ngoại cảm phong hàn, phong nhiệt, phong thấp",Cần điều chỉnh để tránh bị nóng quá; hạt cà độc dược có độc nên chú ý lượng bột dùng vừa đủ.,HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 101
TP010,"Phương pháp đánh gió (đánh cảm, bắt gió)","Khi bị cảm nhiệt, cảm nắng có thể đánh gió bằng nhiều cách, chà xát nhẹ lên da toàn thân một số dược liệu sau: lá trầu không tươi giã nát bọc trong miếng gạc có thấm rượu nóng, chà xát mạnh hơn ở vùng gáy (đặc biệt huyệt phong phủ và đốc sống lưng, 2 lòng bàn tay và chân). Hoặc dùng củ gừng (10–15g), giã nát, xào nóng, cho vào ít rượu bọc gạc mềm rồi làm như trên. Có khi dùng tóc rối với dầu hoả, hoặc dùng lòng trắng trứng gà đã luộc với đồng tiền bằng bạc v.v.. Cũng có khi dùng dầu cù là xoa trên da rồi dùng đồng xu, đồng bạc cào nhẹ trên da v.v..","Cảm nhiệt, cảm nắng",,HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 102
