id,category,question,answer,top_similarity,precision_at_k,mrr,ndcg_at_k,chunk_coverage,faithfulness,answer_relevancy,rouge_l,completeness,is_zero_result,response_ms,confusion_label
GP001,tiet_nieu_sinh_duc,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Đau cột thắt lưng (Yêu thống) thể Hàn thấp theo y học cổ truyền?","**Nguyên nhân:**

Theo y học cổ truyền, Đau cột thắt lưng (Yêu thống) thể Hàn thấp được giải thích là do phong thấp xâm nhập vào cơ thể, gây ra sự chặn nghẽ khí huyết và tổn thương các khớp cột sống. Nguyên nhân có thể do:

* Phong thấp xâm nhập vào cơ thể qua đường hô hấp, tiêu hóa hoặc da
* Thiếu ",0.5802,0.2,0.2,0.3869,0.4,0.7244,0.5,0.2421,0.9504,0,8642,correct
GP002,tiet_nieu_sinh_duc,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Đau cột thắt lưng (Yêu thống) thể Thấp nhiệt theo y học cổ truyền?","Theo y học cổ truyền, Đau cột thắt lưng (Yêu thống) thể Thấp nhiệt là một chứng bệnh do phong thấp nhiệt tích tụ ở cột thắt lưng, gây ra đau nhức, mỏi cơ, khó di chuyển.

**Nguyên nhân:**

* Phong thấp nhiệt tích tụ ở cột thắt lưng
* Có thể do phong thấp nhiệt tiết thũng, gây ra đau nhức, mỏi cơ
* H",0.6904,0.2,0.5,0.6309,0.4,0.8722,0.5,0.3018,0.967,0,1316,correct
GP003,tiet_nieu_sinh_duc,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Đau cột thắt lưng (Yêu thống) thể Huyết ứ theo y học cổ truyền?","Theo y học cổ truyền, Đau cột thắt lưng (Yêu thống) thể Huyết ứ là một chứng bệnh do sự tích tụ của máu ứ ở cột sống thắt lưng, dẫn đến đau nhức, khó chịu.

Nguyên nhân:

* Huyết ứ là một trạng thái bệnh lý do sự tích tụ của máu ứ ở một khu vực nhất định, trong trường hợp này là cột sống thắt lưng.
",0.6674,0.0,0.0,0.0,0.4,0.6364,0.5,0.1962,1.0,0,18420,correct
GP004,xuong_khop,Bệnh Đau cột thắt lưng (Yêu thống) thể Can thận hư có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh Đau cột thắt lưng (Yêu thống) thể Can thận hư là một chứng bệnh trong Y học cổ truyền Việt Nam, được mô tả như sau:

""Yếu thống: Thanh nga hoàn là phương chủ yếu trị thận hư, đau eo lưng. Phụ nữ đái hạ có chứng đau lưng cũng dùng được. Nếu do phong thấp, trật đả (ngã, đòn) lao quyện (mệt) mà đa",0.755,0.0,0.0,0.0,0.4,0.7344,0.5,0.3718,0.8643,0,24679,correct
GP005,tiet_nieu_sinh_duc,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Đau cột thắt lưng (Yêu thống) thể Thận dương hư theo y học cổ truyền?","Theo y học cổ truyền, Đau cột thắt lưng (Yêu thống) thể Thận dương hư là một chứng bệnh do Thận dương hư hao dẫn đến đau cột thắt lưng.

**Nguyên nhân:**

Nguyên nhân chính của chứng bệnh này là Thận dương hư hao, dẫn đến mất cân bằng giữa Thận dương và âm, gây ra đau cột thắt lưng.

**Triệu chứng:*",0.6694,0.2,0.5,0.6309,0.2,0.64,0.5,0.1359,0.9922,0,11037,correct
GP006,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Thoái hóa khớp gối (Hạc tất phong) thể Phong hàn thấp tý theo y học cổ truyền?","Theo y học cổ truyền, bệnh Thoái hóa khớp gối (Hạc tất phong) thể Phong hàn thấp tý là một chứng bệnh do phong, hàn và thấp xâm phạm vào khớp gối, gây ra đau nhức, sưng phù và khó cử động.

**Nguyên nhân:**

* Phong: Phong là một loại khí xấu, có thể xâm phạm vào cơ thể qua đường khí hoặc đường huyế",0.7161,0.0,0.0,0.0,0.4,0.8528,0.5,0.2155,0.9426,0,15858,correct
GP007,xuong_khop,Bệnh Thoái hóa khớp gối (Hạc tất phong) thể Phong hàn thấp tý kèm can thận hư có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh Thoái hóa khớp gối (Hạc tất phong) thể Phong hàn thấp tý kèm can thận hư có các biểu hiện lâm sàng như sau:

- Đau nhức khớp gối, đặc biệt là sau khi sử dụng hoặc khi di chuyển.
- Khớp gối sưng phù, nóng đỏ.
- Hoạt động khó khăn, đau nhức khi di chuyển.
- Có thể có các triệu chứng khác như tê d",0.7362,0.0,0.0,0.0,0.4,0.7689,0.5,0.1725,0.9583,0,16030,correct
GP008,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Thoái hóa khớp gối (Hạc tất phong) thể Phong thấp nhiệt kèm can thận hư theo y học cổ truyền?","Bệnh Thoái hóa khớp gối (Hạc tất phong) thể Phong thấp nhiệt kèm can thận hư là một chứng bệnh phức tạp, kết hợp giữa phong thấp nhiệt và can thận hư. Dưới đây là mô tả nguyên nhân, triệu chứng và phép trị cho bệnh này theo y học cổ truyền:

**Nguyên nhân:**

* Phong thấp nhiệt: Phong thấp là một lo",0.7454,0.0,0.0,0.0,0.4,0.7903,0.5,0.2552,1.0,0,14026,correct
GP009,xuong_khop,Bệnh Gout (Thống phong) thể Phong thấp nhiệt có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh Gout (Thống phong) thể Phong thấp nhiệt là một chứng bệnh phong thấp nhiệt, biểu hiện bởi các triệu chứng như:

- Đau nhức mình mẩy, lưng gối nhức mỏi
- Cơ khớp tê dại hoặc sưng nóng đỏ đau
- Hoạt động khó khăn

Để điều trị bệnh Gout thể Phong thấp nhiệt, Y học cổ truyền Việt Nam thường sử dụng",0.6607,0.4,1.0,0.9386,0.4,0.8467,0.8333,0.306,0.8635,0,17396,correct
GP010,tieu_hoa,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Gout (Thống phong) thể Phong hàn thấp theo y học cổ truyền?","Bệnh Gout (Thống phong) thể Phong hàn thấp là một chứng bệnh lý thuộc phạm vi của Y học cổ truyền Việt Nam. Dưới đây là mô tả nguyên nhân, triệu chứng và phép trị cho bệnh này:

**Nguyên nhân:**

Theo Y học cổ truyền, nguyên nhân gây ra bệnh Gout (Thống phong) thể Phong hàn thấp là do phong hàn thấp",0.6462,0.0,0.0,0.0,0.4,0.7711,0.5,0.2629,1.0,0,16176,correct
