herb_name,temp_property,meridian,indications,source_pdf
Dây hoàng liên,"","","",[Text]3033 CÂY THUỐC ĐÔNG Y (TUỆ TĨNH).pdf
Dừa cạn,mát,"","hoạt huyết, tiêu thũng, giải độc, hạ huyết áp và an thần",[Text]3033 CÂY THUỐC ĐÔNG Y (TUỆ TĨNH).pdf
Dưa chuột,"","","",[Text]3033 CÂY THUỐC ĐÔNG Y (TUỆ TĨNH).pdf
Quả điều,"","","",[Text]3033 CÂY THUỐC ĐÔNG Y (TUỆ TĨNH).pdf
Bao đồng,hàn,"","khư phong trừ thấp, giải độc tiêu thũng",[Text]3033 CÂY THUỐC ĐÔNG Y (TUỆ TĨNH).pdf
Hồng anh,"","","viêm tuyến nước bọt, viêm kết mạc mắt cấp tính",[Text]3033 CÂY THUỐC ĐÔNG Y (TUỆ TĨNH).pdf
Kháo vàng bông,"","","tê thấp, hậu sản, ăn không tiêu, đái vàng và đái mủ trắng",[Text]3033 CÂY THUỐC ĐÔNG Y (TUỆ TĨNH).pdf
Tây phiên liên,ấm,"","khư phong trừ thấp, hoạt huyết giảm đau, ngừng ho, làm long đờm",[Text]3033 CÂY THUỐC ĐÔNG Y (TUỆ TĨNH).pdf
Sam hoa nách,Mát,Tỳ vị,"Bổ mát, lợi tiểu, kiện tỳ vị",[Text]3033 CÂY THUỐC ĐÔNG Y (TUỆ TĨNH).pdf
Sứ sa mạc,"","","",[Text]3033 CÂY THUỐC ĐÔNG Y (TUỆ TĨNH).pdf
Thạch nam,"","","",[Text]3033 CÂY THUỐC ĐÔNG Y (TUỆ TĨNH).pdf
Thiên lý,"","","",[Text]3033 CÂY THUỐC ĐÔNG Y (TUỆ TĨNH).pdf
Trúc diệp tử,"","","",[Text]3033 CÂY THUỐC ĐÔNG Y (TUỆ TĨNH).pdf
Trúc Phật,"","","",[Text]3033 CÂY THUỐC ĐÔNG Y (TUỆ TĨNH).pdf
Vạng hôi,"","","",[Text]3033 CÂY THUỐC ĐÔNG Y (TUỆ TĨNH).pdf
Ophioglossi,"Vị đắng, ngọt, tính mát","","Thanh nhiệt, giải độc, hoạt huyết tán ứ, tiêu thũng giảm đau",[Text]3033 CÂY THUỐC ĐÔNG Y (TUỆ TĨNH).pdf
