herb_id,herb_name,herb_name_latin,nature_vi,temp_property,yin_yang,element_group,category_vi,meridian,indication_vi,safety_note,data_source
H001,Ba kích,Morinda officinalis,"Cam, tân",Ôn,Dương,Thủy,Thuốc bổ dương (thuốc trợ dương),Thận,"Bổ thận dương, mạnh gân cốt, dùng cho thận dương suy nhược gây liệt dương, di tinh, tiết tinh sớm, đau lưng mỏi gối, phụ nữ đau bụng dưới, hiếm muộn, người già lưng đau gối mỏi","Kiêng dùng cho người âm hư hỏa thịnh, đại tiện bí táo","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 349"
H002,Bách bộ,Stemona tuberosa,"Cam, khổ",Ôn,Dương,Kim,"Thuốc hóa đàm, chỉ ho, bình suyễn",Phế,"Ôn phế, nhuận phế, chỉ khái, dùng cho ho lâu ngày do viêm khí quản, ho gà, lao hạch cổ kết quả, ho do viêm họng, thanh tràng trị viêm đại tràng mạn, giải độc, diệt giun kim, diệt chấy rận","Kiêng dùng cho người dạ dày và ruột yếu, tiêu chảy","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 245"
H003,Bạch chỉ,Angelica dahurica,Tân,Ôn,Dương,"Kim, Thổ",Thuốc giải biểu cay ấm,"Phế, Vị, Đại trường","Giải cảm hàn, trừ phong giảm đau, dùng cho đau đầu, đau vùng trán và hai bên thái dương, đau răng, viêm mũi mạn, nghẹt mũi, chảy nước mũi; tiêu viêm, bài mủ trong nhọt độc, viêm tuyến vú, rắn cắn, hành huyết điều kinh, giảm đau bụng kinh, đau ngực","Kiêng dùng cho người thuộc chứng hư, uất hỏa, sốt xuất huyết không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 176"
H004,Bạch biến đậu (Đậu ván),Lablab purpureus L,Cam,Ôn,Dương,Thổ,Thuốc bổ khí,"Tỳ, Vị","Kiện tỳ, hòa trung, giải thử, hóa thấp. Trị cảm nắng, nôn mửa, tiêu chảy","Không dùng khi thực nhiệt, táo bón","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 290"
H005,Bạch cương tằm,Bombyx mori L.,"Hàm, tân",Bình,Trung tính,"Hỏa, Mộc, Thổ, Kim",Thuốc bình can tắt phong,"Tâm, Can, Tỳ, Phế","Trị can phong nội động gây đau đầu, chóng mặt, sốt cao, co giật, thiên đầu thống, đau cổ họng, viêm amidan cấp, mất tiếng và trẻ em khóc đêm (khóc dạ đề). Giải độc, trị sang lở, mụn nhọt hoặc các vết sạm ở mặt",Những người huyết hư hoặc thể hư mà không có phong tà thì không nên dùng.,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 258"
H006,Bạch giới tử,Sinapis alba L.,"Tân, ôn",Ôn,Dương,Kim,Thuốc hóa đàm hàn,Phế,"Trị bệnh ho do đàm hàn ngưng đọng ở phế, hoặc suyễn tức, nhiều đàm mà loãng, ngực đau đầy trướng. Hành khí, giảm đau đối với trường hợp khí trệ, đàm ứ đọng, đau khớp. Tiêu ung nhọt, tán kết: dùng đối với nhọt bọc hoặc viêm hạch lâm ba","Những người khí hư có nhiệt và ho khan do phế hư không nên dùng. Chú ý: Có thể gây kích thích da, sung huyết, đỏ đau hoặc dộp da nếu tiếp xúc lâu; uống quá liều có thể gây nôn, viêm dạ dày, ruột, đau bụng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 237"
H007,Bạch mao căn,Imperata cylindrica (L.) P. Beauv,Cam,Hàn,Âm,"Kim, Thổ",Thuốc thanh nhiệt lương huyết,"Phế, Vị","Trừ phục nhiệt, tiêu ứ huyết: dùng khi nội nhiệt sinh phiền khát, phế nhiệt sinh ho, suyễn tức, khó thở, ngực đầy trướng, bí tích, vị nhiệt sinh nôn lợm.
 Lương huyết chỉ huyết: dùng khi tiểu tiện ra máu, thổ huyết, máu cam, ho ra máu.
 Lợi niệu tiêu phù nề: dùng trong bệnh viêm thận cấp, tiểu tiện khó khăn, đái dắt, đái buốt, bệnh hoàng đản thấp nhiệt.
Thanh phế chỉ ho: phối hợp phòng bệnh ho gà.",Phụ nữ có thai và những người ở thể hư hàn không có thực nhiệt không nên dùng.,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 233"
H008,Bạch tật lê,Tribulus terrestris,"Khổ, tân",Ôn,Dương,"Mộc, Kim",Thuốc bình can tắt phong,"Can, Phế","Công năng: Bình can tiềm dương, hành khí trong can và giải uất, khu phong giảm ngứa, làm sáng mắt. Chủ trị: Can dương vượng, nhức đầu, chóng mặt, Can uất khí trệ, hông sườn đầy trướng, ngứa toàn thân, sưng đỏ mắt",Người huyết hư khí yếu không dùng.,"https://duocdienvietnam.com/bach-tat-le-qua/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 260"
H009,Bạch truật (Thân rễ),Atractylodes macrocephala Koidz.,"Khổ, cam",Ôn,Dương,Thổ,Thuốc hành khí giải uất,"Tỳ, Vị","Tác dụng: Kiện tỳ ích khí, táo thấp, lợi thủy, cố biểu liễm hân, an thai. Chủ trị: Tiêu hoá kém, bụng trướng tiêu chảy, phù thũng, tự hãn, động thai.","Âm hư nội nhiệt, tân dịch hư hao gây đại tiện táo, không dùng","https://duocdienvietnam.com/bach-truat-than-re/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 285"
H010,Bồ công anh,Lactuca indica L.,"Khổ, cam",Hàn,Âm,"Mộc, Thổ",Thuốc thanh nhiệt giải độc,"Can, Vị","Thanh nhiệt giải độc, tiêu viêm tán kết. Chủ trị: Mụn nhọt sang lở, tắc tia sữa, viêm tuyến vú, nhiễm trùng đường tiết niệu.","Các chứng âm hư hoặc tràng nhạc, ung nhọt đã vỡ cấm dùng","https://duocdienvietnam.com/bo-cong-anh/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 202"
